"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code"
CA,"Y31, Y34, Y23, Y17",Lead; Acidic solutions (or solids); Zinc; Wastes resulting from the surface treatment of metals and plastics,UN3264,8.0,H08.0,Corrosive,1828.137,,US,D9,
CA,"Y31, Y35",Lead; Basic solutions (or solids),,,H12.0,Ecotoxic,454.309,,US,D5,
CA,"Y31,Y41,Y42",Lead; Halogenated organic solvents; Organic solvents,UN1993,3.0,H03.0,Flammable Liquids,1534.828,,US,D10,
CA,Y32,Inorganic fluorine compounds,,,H13.0,Leachate,483.573,,US,D5,
CA,Y32,Inorganic fluorine compounds,,,H13.0,Leachate,11681.63068,,US,D13,
CA,Y32,Inorganic fluorine compounds,,,H13.0,Leachate,1162.74922,,US,,R1
CA,Y32,Inorganic fluorine compounds,UN3170,4.3,H04.3,Flammable Gases in contact with water,1830.898,,US,D5,
CA,Y32,Inorganic fluorine compounds,UN3170,4.3,H04.3,Flammable Gases in contact with water,112.32819,,US,,R4
CA,Y32,Inorganic fluorine compounds,UN1746,5.1,H05.1/H06.1,Oxidizing; Toxic (Poisonous),0.001,,US,D9,
CA,Y32,Inorganic fluorine compounds,UN1690,6.1,H06.1,Toxic (Poisonous),146.39,,US,D13,
CA,"Y32,Y33",Inorganic fluorine compounds; Inorganic cyanides,UN3170,4.3,H04.3,Flammable Gases in contact with water,19105.962,,US,D9,
CA,"Y32,Y33",Inorganic fluorine compounds; Inorganic cyanides,UN3170,4.3,H04.3,Flammable Gases in contact with water,8018.95,BE,DE,,R1
CA,"Y32,Y33",Inorganic fluorine compounds; Inorganic cyanides,UN3170,4.3,H04.3,Flammable Gases in contact with water,16338.66539,,US,,R5
CA,"Y32,Y34",Inorganic fluorine compounds; Acidic solutions (or solids),UN2495,5.1,H05.1/H06.1,Oxidizing; Toxic (Poisonous),0.001,,US,D9,
CA,Y33,Inorganic cyanides,UN1588,6.1,H06.1,Toxic (Poisonous),0.082,,US,D10,
CA,Y33,Inorganic cyanides,UN1889,6.1,H06.1/H08.0,Toxic (Poisonous); Corrosive,0.005,,US,D10,
CA,Y33,Inorganic cyanides,UN3288,6.1,H06.1,Toxic (Poisonous),14.015,,US,D10,
CA,"Y33,Y34",Inorganic cyanides; Acidic solutions (or solids),UN2465,5.1,H05.1,Oxidizing,0.205,,US,D10,
CA,"Y33,Y34",Inorganic cyanides; Acidic solutions (or solids),UN3264,8.0,H08.0,Corrosive,0.033,,US,,R4
CA,"Y33,Y35",Inorganic cyanides; Basic solutions (or solids),UN1689,6.1,H06.1,Toxic (Poisonous),0.015,,US,D10,
CA,"Y33,Y35",Inorganic cyanides; Basic solutions (or solids),UN2922,8.0,H08.0/H06.1,Corrosive; Toxic (Poisonous),9.907,,US,,R4
CA,"Y33,Y35,Y4","Inorganic cyanides; Basic solutions (or solids); Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",UN1680,6.1,H06.1,Toxic (Poisonous),0.006,,US,D10,
CA,"Y33,Y38",Inorganic cyanides; Organic cyanides,UN1935,6.1,H06.1,Toxic (Poisonous),0.023,,US,D10,
CA,"Y33,Y41",Inorganic cyanides; Halogenated organic solvents,UN1889,6.1,H06.1/H08.0,Toxic (Poisonous); Corrosive,0.004,,US,D10,
CA,Y34,Acidic solutions (or solids),,,H12.0,Ecotoxic,3519.11,,US,D9,
CA,Y34,Acidic solutions (or solids),UN2925,4.1,H04.1/H08.0,Flammable solids; Corrosive,0.007,,US,D10,
CA,Y34,Acidic solutions (or solids),UN3129,4.3,H04.3/H08.0,Flammable Gases in contact with water; Corrosive,0.005,,US,D10,
CA,Y34,Acidic solutions (or solids),UN2014,5.1,H05.1/H08.0,Oxidizing; Corrosive,0.364,,US,D10,
CA,Y34,Acidic solutions (or solids),UN3085,5.1,H05.1/H08.0,Oxidizing; Corrosive,0.051,,US,D10,
CA,Y34,Acidic solutions (or solids),UN3098,5.1,H05.1/H08.0,Oxidizing; Corrosive,3.187,,US,D9,
CA,Y34,Acidic solutions (or solids),UN3149,5.1,H05.1/H08.0,Oxidizing; Corrosive,0.059,,US,D10,
CA,Y34,Acidic solutions (or solids),UN2927,6.1,H06.1,Toxic (Poisonous),0.053,,US,D10,
CA,Y34,Acidic solutions (or solids),UN2927,6.1,H06.1/H08.0,Toxic (Poisonous); Corrosive,0.106,,US,D10,
CA,Y34,Acidic solutions (or solids),UN1760,8.0,H08.0,Corrosive,13.294,,US,D10,
CA,Y34,Acidic solutions (or solids),UN1779,8.0,H08.0,Corrosive,0.107,,US,D10,
CA,Y34,Acidic solutions (or solids),UN1789,8.0,H08.0,Corrosive,0.06,,US,D10,
CA,Y34,Acidic solutions (or solids),UN1790,8.0,H08.0/H06.1,Corrosive; Toxic (Poisonous),3.724,,US,D9,
CA,Y34,Acidic solutions (or solids),UN1790,8.0,H08.0/H06.1,Corrosive; Toxic (Poisonous),0.008,,US,D10,
CA,Y34,Acidic solutions (or solids),UN1830,8.0,H08.0,Corrosive,1217.168,,US,D3,
CA,Y34,Acidic solutions (or solids),UN1830,8.0,H08.0,Corrosive,0.274,,US,D9,
CA,Y34,Acidic solutions (or solids),UN1830,8.0,H08.0,Corrosive,6.918,,US,D10,
CA,Y34,Acidic solutions (or solids),UN1832,8.0,H08.0,Corrosive,131054.019,,US,,R6
CA,Y34,Acidic solutions (or solids),UN1834,8.0,H08.0,Corrosive,0.004,,US,D10,
CA,Y34,Acidic solutions (or solids),UN1838,8.0,H08.0,Corrosive,0.005,,US,D10,
CA,Y34,Acidic solutions (or solids),UN2031,8.0,H08.0/H05.1,Corrosive; Oxidizing,0.008,,US,D10,
CA,Y34,Acidic solutions (or solids),UN2580,8.0,H08.0,Corrosive,1484.88,,US,D9,
CA,Y34,Acidic solutions (or solids),UN2920,8.0,H08.0/H03.0,Corrosive; Flammable Liquids,0.011,,US,D10,
CA,Y34,Acidic solutions (or solids),UN2922,8.0,H08.0/H06.1,Corrosive; Toxic (Poisonous),0.486,,US,D10,
CA,Y34,Acidic solutions (or solids),UN2923,8.0,H08.0/H06.1,Corrosive; Toxic (Poisonous),14.584,,US,D10,
CA,Y34,Acidic solutions (or solids),UN3093,8.0,H08.0/H05.1,Corrosive; Oxidizing,0.02,,US,D10,
CA,Y34,Acidic solutions (or solids),UN3244,8.0,H08.0,Corrosive,0.206,,US,D10,
CA,Y34,Acidic solutions (or solids),UN3260,8.0,H08.0,Corrosive,0.017,,US,D10,
CA,Y34,Acidic solutions (or solids),UN3260,8.0,H08.0,Corrosive,0.2251,,US,,R4
CA,Y34,Acidic solutions (or solids),UN3261,8.0,H08.0,Corrosive,0.022,,US,,R4
CA,Y34,Acidic solutions (or solids),UN3264,8.0,H08.0,Corrosive,406.355,,US,D3,
CA,Y34,Acidic solutions (or solids),UN3264,8.0,H08.0,Corrosive,1371.245,,US,D9,
CA,Y34,Acidic solutions (or solids),UN3264,8.0,H08.0,Corrosive,4.092,,US,D10,
CA,Y34,Acidic solutions (or solids),UN3264,8.0,H08.0,Corrosive,2.0,,US,,R4
CA,Y34,Acidic solutions (or solids),UN3265,8.0,H08.0,Corrosive,3.196,,US,D10,
CA,"Y34,Y2",Acidic solutions (or solids); Wastes from the production and preparation of pharmaceutical products,UN1715,8.0,H08.0/H03.0,Corrosive; Flammable Liquids,0.171,,US,D10,
CA,"Y34,Y3","Acidic solutions (or solids); Waste pharmaceuticals, drugs, and medicines",,,H12.0,Ecotoxic,634.038,,US,D5,
CA,"Y34,Y3","Acidic solutions (or solids); Waste pharmaceuticals, drugs, and medicines",UN3287,6.1,H06.1,Toxic (Poisonous),6.6,,US,D9,
CA,"Y34,Y3","Acidic solutions (or solids); Waste pharmaceuticals, drugs, and medicines",UN1760,8.0,H08.0,Corrosive,34.383,,US,D9,
CA,"Y34,Y17",Acidic solutions (or solids); Wastes resulting from the surface treatment of metals and plastics,UN3264,8.0,H08.0,Corrosive,12.127,,US,D3,
CA,"Y34,Y17",Acidic solutions (or solids); Wastes resulting from the surface treatment of metals and plastics,UN3264,8.0,H08.0,Corrosive,1058.23,,US,,R4
CA,"Y34,Y18",Acidic solutions (or solids); Residues arising from industrial waste-disposal operations,UN3264,8.0,H08.0,Corrosive,223.6,,US,D9,
CA,"Y34,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,UN1755,8.0,H08.0,Corrosive,0.223,,US,D9,
CA,"Y34,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,UN1755,8.0,H08.0,Corrosive,4.719,,US,D10,
CA,"Y34,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,UN2240,8.0,H08.0,Corrosive,0.087,,US,D9,
CA,"Y34,Y21",Acidic solutions (or solids); Hexavalent chromium compounds,UN3264,8.0,H08.0,Corrosive,10.896,,US,,R4
CA,"Y34,Y21,Y17",Acidic solutions (or solids); Hexavalent chromium compounds; Wastes resulting from the surface treatment of metals and plastics,UN1755,8.0,H08.0,Corrosive,264.721,,US,D3,
CA,"Y34,Y21,Y17",Acidic solutions (or solids); Hexavalent chromium compounds; Wastes resulting from the surface treatment of metals and plastics,UN1755,8.0,H08.0,Corrosive,368.79659999999996,,US,,R4
CA,"Y34,Y21,Y31",Acidic solutions (or solids); Hexavalent chromium compounds; Lead,UN3260,8.0,H08.0,Corrosive,19.68,,US,D9,
CA,"Y34,Y21,Y31",Acidic solutions (or solids); Hexavalent chromium compounds; Lead,UN3264,8.0,H08.0,Corrosive,193.331,,US,D3,
CA,"Y34,Y21,Y31",Acidic solutions (or solids); Hexavalent chromium compounds; Lead,UN3264,8.0,H08.0,Corrosive,437.353,,US,D9,
CA,"Y34,Y21,Y31,Y18",Acidic solutions (or solids); Hexavalent chromium compounds; Lead; Residues arising from industrial waste-disposal operations,UN3264,8.0,H08.0,Corrosive,1625.895,,US,D3,
CA,"Y34,Y22",Acidic solutions (or solids); Copper,UN3264,8.0,H08.0,Corrosive,29.872,,US,,R4
CA,"Y34,Y23,Y17",Acidic solutions (or solids); Zinc; Wastes resulting from the surface treatment of metals and plastics,UN3264,8.0,H08.0,Corrosive,2605.16,,US,D9,
CA,"Y34,Y26",Acidic solutions (or solids); Cadmium,UN3264,8.0,H08.0,Corrosive,5.616,,US,,R4
CA,"Y34,Y31",Acidic solutions (or solids); Lead,UN3264,8.0,H08.0,Corrosive,54.8,,US,,R4
CA,"Y34,Y31,Y21",Acidic solutions (or solids); Lead; Hexavalent chromium compounds,UN3264,8.0,H08.0,Corrosive,248.109,,US,D3,
CA,"Y34,Y32",Acidic solutions (or solids); Inorganic fluorine compounds,UN1778,8.0,H08.0,Corrosive,0.1,,US,D10,
CA,"Y34,Y32",Acidic solutions (or solids); Inorganic fluorine compounds,UN2923,8.0,H08.0/H06.1,Corrosive; Toxic (Poisonous),369.75,,US,D12,
CA,"Y34,Y32,Y17",Acidic solutions (or solids); Inorganic fluorine compounds; Wastes resulting from the surface treatment of metals and plastics,UN3264,8.0,H08.0,Corrosive,176.079,,US,D3,
CA,"Y34,Y41",Acidic solutions (or solids); Halogenated organic solvents,UN1162,3.0,H03.0/H08.0,Flammable Liquids; Corrosive,0.012,,US,D10,
CA,"Y34,Y41",Acidic solutions (or solids); Halogenated organic solvents,UN1717,3.0,H03.0/H08.0,Flammable Liquids; Corrosive,0.005,,US,D10,
CA,"Y34,Y41",Acidic solutions (or solids); Halogenated organic solvents,UN2438,6.1,H06.1/H03.0,Toxic (Poisonous); Flammable Liquids,0.004,,US,D10,
CA,"Y34,Y41",Acidic solutions (or solids); Halogenated organic solvents,UN1726,8.0,H08.0,Corrosive,0.016,,US,D10,
CA,"Y34,Y45",Acidic solutions (or solids); Organohalogen Coumpount,UN3261,8.0,H08.0,Corrosive,0.028,,US,D10,
CA,Y35,Basic solutions (or solids),,,H12.0,Ecotoxic,1582.94,,US,D9,
CA,Y35,Basic solutions (or solids),,,H13.0,Leachate,1699.94,,US,D9,
CA,Y35,Basic solutions (or solids),UN2924,3.0,H03.0/H08.0,Flammable Liquids; Corrosive,0.008,,US,D13,
CA,Y35,Basic solutions (or solids),UN1384,4.2,H04.2,Spontaneous Combustion,0.309,,US,D10,
CA,Y35,Basic solutions (or solids),UN3190,4.2,H04.2,Spontaneous Combustion,0.601,,US,D10,
CA,Y35,Basic solutions (or solids),UN1426,4.3,H04.3,Flammable Gases in contact with water,0.01,,US,D10,
CA,Y35,Basic solutions (or solids),UN3170,4.3,H04.3,Flammable Gases in contact with water,2735.092,,US,,R4
CA,Y35,Basic solutions (or solids),UN1490,5.1,H05.1,Oxidizing,0.1,,US,D10,
CA,Y35,Basic solutions (or solids),UN1504,5.1,H05.1,Oxidizing,0.01,,US,D10,
CA,Y35,Basic solutions (or solids),UN1942,5.1,H05.1,Oxidizing,0.037,,US,D10,
CA,Y35,Basic solutions (or solids),UN2072,5.1,H05.1,Oxidizing,0.005,,US,D10,
CA,Y35,Basic solutions (or solids),UN1719,8.0,H08.0,Corrosive,0.06,,US,D10,
CA,Y35,Basic solutions (or solids),UN1719,8.0,H08.0,Corrosive,2281.89,,US,,R6
CA,Y35,Basic solutions (or solids),UN1744,8.0,H08.0/H06.1,Corrosive; Toxic (Poisonous),0.012,,US,D10,
CA,Y35,Basic solutions (or solids),UN1759,8.0,H08.0,Corrosive,0.51,,US,D10,
CA,Y35,Basic solutions (or solids),UN1760,8.0,H08.0,Corrosive,25.4,,US,D9,
CA,Y35,Basic solutions (or solids),UN1760,8.0,H08.0,Corrosive,4.101,,US,D10,
CA,Y35,Basic solutions (or solids),UN1791,8.0,H08.0,Corrosive,1.169,,US,D10,
CA,Y35,Basic solutions (or solids),UN1824,8.0,H08.0,Corrosive,48.69,,US,D9,
CA,Y35,Basic solutions (or solids),UN1849,8.0,H08.0,Corrosive,0.05,,US,D10,
CA,Y35,Basic solutions (or solids),UN2029,8.0,H08.0/H03.0,Corrosive; Flammable Liquids,0.01,,US,D10,
CA,Y35,Basic solutions (or solids),UN2030,8.0,H08.0/H06.1,Corrosive; Toxic (Poisonous),0.382,,US,D10,
CA,Y35,Basic solutions (or solids),UN2672,8.0,H08.0,Corrosive,0.02,,US,D10,
CA,Y35,Basic solutions (or solids),UN2922,8.0,H08.0/H06.1,Corrosive; Toxic (Poisonous),4.274,,US,D10,
CA,Y35,Basic solutions (or solids),UN3028,8.0,H08.0,Corrosive,163.127,,US,,R4
CA,Y35,Basic solutions (or solids),UN3094,8.0,H08.0/H04.3,Corrosive; Flammable Gases in contact with water,0.054,,US,D10,
CA,Y35,Basic solutions (or solids),UN3266,8.0,H08.0,Corrosive,2.812,,US,D10,
CA,"Y35,Y3","Basic solutions (or solids); Waste pharmaceuticals, drugs, and medicines",UN1760,8.0,H08.0,Corrosive,1.964,,US,D9,
CA,"Y35,Y6,Y42",Basic solutions (or solids); Wastes from the production and use of organic solvents; Organic solvents,UN3267,8.0,H08.0,Corrosive,26.021,,US,,R2
CA,"Y35,Y18",Basic solutions (or solids); Residues arising from industrial waste-disposal operations,,,H12.0,Ecotoxic,1852.655,,US,D9,
CA,"Y35,Y18",Basic solutions (or solids); Residues arising from industrial waste-disposal operations,UN3266,8.0,H08.0,Corrosive,138.253,,US,D3,
CA,"Y35,Y21,Y31",Basic solutions (or solids); Hexavalent chromium compounds; Lead,UN3266,8.0,H08.0,Corrosive,1.0,,US,D9,
CA,"Y35,Y23",Basic solutions (or solids); Zinc,UN3028,8.0,H08.0,Corrosive,2.599,,US,,R4
CA,"Y35,Y23",Basic solutions (or solids); Zinc,UN3266,8.0,H08.0,Corrosive,3.2,,US,D9,
CA,"Y35,Y26",Basic solutions (or solids); Cadmium,UN2795,8.0,H08.0,Corrosive,5.94,,US,,R4
CA,"Y35,Y26",Basic solutions (or solids); Cadmium,UN3028,8.0,H08.0,Corrosive,0.162,,US,,R4
CA,"Y35,Y29",Basic solutions (or solids); Mercury,UN3266,8.0,H08.0,Corrosive,5.016,,US,,R13
CA,"Y35,Y33,Y38",Basic solutions (or solids); Inorganic cyanides; Organic cyanides,UN1935,6.1,H06.1,Toxic (Poisonous),0.151,,US,D10,
CA,Y37,Organic phosphorous compounds,UN3018,6.1,H06.1,Toxic (Poisonous),0.082,,US,D15,
CA,Y39,"Phenols, phenol compounds, including chlorophenols",UN1344,4.1,H04.1,Flammable solids,0.064,,US,D10,
CA,"Y39,Y5","Phenols, phenol compounds, including chlorophenols; Wastes from the manufacture and use of wood-preserving chemicals",,,H12.0,Ecotoxic,1.44,,US,D5,
CA,"Y39,Y18","Phenols, phenol compounds, including chlorophenols; Residues arising from industrial waste-disposal operations",UN2811,6.1,H06.1,Toxic (Poisonous),175.445,,US,D10,
CA,"Y39,Y42","Phenols, phenol compounds, including chlorophenols; Organic solvents",UN2924,3.0,H03.0/H08.0,Flammable Liquids; Corrosive,0.509,,US,D10,
CA,Y40,Ethers,UN1928,4.3,H04.3/H03.0,Flammable Gases in contact with water; Flammable Liquids,0.002,,US,D13,
CA,"Y40,Y34",Ethers; Acidic solutions (or solids),UN2604,8.0,H08.0/H03.0,Corrosive; Flammable Liquids,0.009,,US,D10,
CA,Y41,Halogenated organic solvents,,,H12.0,Ecotoxic,40.512,,US,D10,
CA,Y41,Halogenated organic solvents,UN1268,3.0,H03.0,Flammable Liquids,1.391,,US,D10,
CA,Y41,Halogenated organic solvents,UN1993,3.0,H03.0,Flammable Liquids,0.004,,US,D13,
CA,Y41,Halogenated organic solvents,UN3399,4.3,H04.3/H03.0,Flammable Gases in contact with water; Flammable Liquids,0.015,,US,D10,
CA,Y41,Halogenated organic solvents,UN2810,6.1,H06.1,Toxic (Poisonous),3.001,,US,D10,
CA,"Y41,Y18",Halogenated organic solvents; Residues arising from industrial waste-disposal operations,UN1993,3.0,H03.0,Flammable Liquids,151.927,,US,,R1
CA,"Y41,Y42",Halogenated organic solvents; Organic solvents,,,H12.0,Ecotoxic,18.189,,US,D10,
CA,"Y41,Y42",Halogenated organic solvents; Organic solvents,UN1131,3.0,H03.0/H06.1,Flammable Liquids; Toxic (Poisonous),0.015,,US,D10,
CA,"Y41,Y42",Halogenated organic solvents; Organic solvents,UN1992,3.0,H03.0/H06.1,Flammable Liquids; Toxic (Poisonous),3.194,,US,D10,
CA,"Y41,Y42",Halogenated organic solvents; Organic solvents,UN2381,3.0,H03.0,Flammable Liquids,15.785,,US,D10,
CA,"Y41,Y42,Y6",Halogenated organic solvents; Organic solvents; Wastes from the production and use of organic solvents,UN1992,3.0,H03.0/H06.1,Flammable Liquids; Toxic (Poisonous),4.317,,US,D10,
CA,"Y41,Y42,Y12","Halogenated organic solvents; Organic solvents; Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",UN1992,3.0,H03.0/H06.1,Flammable Liquids; Toxic (Poisonous),0.3935,,US,D9,
CA,"Y41,Y42,Y12","Halogenated organic solvents; Organic solvents; Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",UN1993,3.0,H03.0,Flammable Liquids,215.0435,,US,D9,
CA,"Y41,Y42,Y12","Halogenated organic solvents; Organic solvents; Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",UN1993,3.0,H03.0,Flammable Liquids,61.54,,US,,R1
CA,"Y41,Y42,Y12","Halogenated organic solvents; Organic solvents; Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",UN1325,4.1,H04.1,Flammable solids,33.75,,US,D10,
CA,"Y41,Y42,Y12","Halogenated organic solvents; Organic solvents; Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",UN3175,4.1,H04.1,Flammable solids,77.83855,,US,D9,
CA,"Y41,Y42,Y46",Halogenated organic solvents; Organic solvents; Household Waste,UN1992,3.0,H03.0/H06.1,Flammable Liquids; Toxic (Poisonous),889.683,,US,,R13
CA,Y42,Organic solvents,,,H13.0,Leachate,23.059,,US,D10,
CA,Y42,Organic solvents,UN1219,3.0,H03.0,Flammable Liquids,31.246,,US,D10,
CA,Y42,Organic solvents,UN1247,3.0,H03.0,Flammable Liquids,1.551,,US,D10,
CA,Y42,Organic solvents,UN1262,3.0,H03.0,Flammable Liquids,0.171,,US,D10,
CA,Y42,Organic solvents,UN1263,3.0,H03.0,Flammable Liquids,291.5,,US,,R2
CA,Y42,Organic solvents,UN3269,3.0,H03.0,Flammable Liquids,2.425,,US,D10,
CA,Y42,Organic solvents,UN1325,4.1,H04.1,Flammable solids,28.545,,US,D10,
CA,Y42,Organic solvents,UN2926,4.1,H04.1/H06.1,Flammable solids; Toxic (Poisonous),0.01,,US,D10,
CA,Y42,Organic solvents,UN3175,4.1,H04.1,Flammable solids,8.558,,US,D10,
CA,Y42,Organic solvents,UN2334,6.1,H06.1/H03.0,Toxic (Poisonous); Flammable Liquids,0.168,,US,D10,
CA,Y42,Organic solvents,UN2929,6.1,H06.1/H03.0,Toxic (Poisonous); Flammable Liquids,0.011,,US,D10,
CA,"Y42,Y6",Organic solvents; Wastes from the production and use of organic solvents,UN1993,3.0,H03.0,Flammable Liquids,27.887,,US,D10,
CA,"Y42,Y6",Organic solvents; Wastes from the production and use of organic solvents,UN1993,3.0,H03.0,Flammable Liquids,21.351,,US,,R2
CA,"Y42,Y6",Organic solvents; Wastes from the production and use of organic solvents,UN2213,4.1,H04.1,Flammable solids,12.75,,US,D10,
CA,"Y42,Y12","Organic solvents; Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",UN1263,3.0,H03.0,Flammable Liquids,902.874,,US,D10,
CA,"Y42,Y12","Organic solvents; Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",UN1263,3.0,H03.0,Flammable Liquids,14.262,,US,,R1
CA,"Y42,Y12","Organic solvents; Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",UN1263,3.0,H03.0,Flammable Liquids,1019.84,,US,,R2
CA,"Y42,Y13,Y6","Organic solvents; Wastes from production, formulation, and use of resins, latex, plasticizers, and glues/adhesives; Wastes from the production and use of organic solvents",UN1993,3.0,H03.0,Flammable Liquids,605.368,,US,D10,
CA,"Y42,Y18",Organic solvents; Residues arising from industrial waste-disposal operations,UN1993,3.0,H03.0,Flammable Liquids,361.0,,US,,R13
CA,"Y42,Y18",Organic solvents; Residues arising from industrial waste-disposal operations,UN1325,4.1,H04.1,Flammable solids,121.826,,US,,R13
CA,"Y42,Y35",Organic solvents; Basic solutions (or solids),UN3286,3.0,H03.0/H06.1,Flammable Liquids; Toxic (Poisonous),0.12,,US,D10,
CA,"Y42,Y39","Organic solvents; Phenols, phenol compounds, including chlorophenols",UN2924,3.0,H03.0/H08.0,Flammable Liquids; Corrosive,0.392,,US,D10,
CA,"Y42,Y41",Organic solvents; Halogenated organic solvents,UN2810,6.1,H06.1,Toxic (Poisonous),0.615,,US,D10,
CA,"Y42,Y41,Y6",Organic solvents; Halogenated organic solvents; Wastes from the production and use of organic solvents,UN1992,3.0,H03.0/H06.1,Flammable Liquids; Toxic (Poisonous),3.485,,US,D10,
CA,"Y42,Y41,Y6",Organic solvents; Halogenated organic solvents; Wastes from the production and use of organic solvents,UN1993,3.0,H03.0,Flammable Liquids,127.82,,US,,R1
CA,"Y42,Y41,Y6",Organic solvents; Halogenated organic solvents; Wastes from the production and use of organic solvents,UN1993,3.0,H03.0,Flammable Liquids,70.537,,US,,R13
CA,Y45,Organohalogen Coumpount,UN2478,3.0,H03.0/H06.1,Flammable Liquids; Toxic (Poisonous),0.532,,US,D10,
CA,Y45,Organohalogen Coumpount,UN2206,6.1,H06.1,Toxic (Poisonous),0.584,,US,D10,
CA,Y45,Organohalogen Coumpount,UN3266,6.1,H06.1,Toxic (Poisonous),12.273,,US,D10,
CA,"Y45,Y18",Organohalogen Coumpount; Residues arising from industrial waste-disposal operations,UN2810,6.1,H06.1,Toxic (Poisonous),27.202,,US,D10,
CA,"Y45,Y37,Y4","Organohalogen Coumpount; Organic phosphorous compounds; Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",UN2902,6.1,H06.1,Toxic (Poisonous),0.737,,US,D10,
CA ,11b,Other,,,H00,Miscellaneous waste dangerous,231.211,,US,,R4
CA ,11b,Other,,,H12.0,Ecotoxic,47.424,,US,D9,
CA ,11b,Other,,,H12.0,Ecotoxic,3.175,,US,D10,
CA ,11b,Other,,,H12.0,Ecotoxic,35.554,,US,,R1
CA ,11b,Other,,,H12.0,Ecotoxic,430.79,,US,,R4
CA ,11b,Other,,,H12.0,Ecotoxic,2914.671,,US,,R8
CA ,11b,Other,,,H13.0,Leachate,90.866,,US,D3,
CA ,11b,Other,,,H13.0,Leachate,16.632,,US,,R8
CA ,11b,Other,UN1001,2.1,H00,Miscellaneous waste dangerous,0.826,,US,D15,
CA ,11b,Other,UN1010,2.1,H00,Miscellaneous waste dangerous,0.011,,US,D13,
CA ,11b,Other,UN1011,2.1,H00,Miscellaneous waste dangerous,0.012,,US,D15,
CA ,11b,Other,UN1012,2.1,H00,Miscellaneous waste dangerous,0.004,,US,D13,
CA ,11b,Other,UN1032,2.1,H00/H08.0,Miscellaneous waste dangerous; Corrosive,0.031,,US,D15,
CA ,11b,Other,UN1035,2.1,H00,Miscellaneous waste dangerous,0.001,,US,D9,
CA ,11b,Other,UN1035,2.1,H00,Miscellaneous waste dangerous,0.001,,US,D13,
CA ,11b,Other,UN1036,2.1,H00,Miscellaneous waste dangerous,0.003,,US,D13,
CA ,11b,Other,UN1037,2.1,H00,Miscellaneous waste dangerous,0.003,,US,D15,
CA ,11b,Other,UN1055,2.1,H00,Miscellaneous waste dangerous,0.02,,US,D15,
CA ,11b,Other,UN1057,2.1,H00,Miscellaneous waste dangerous,1.029,,US,D10,
CA ,11b,Other,UN1061,2.1,H00,Miscellaneous waste dangerous,0.026,,US,D9,
CA ,11b,Other,UN1075,2.1,H00,Miscellaneous waste dangerous,0.019,,US,D13,
CA ,11b,Other,UN1077,2.1,H00,Miscellaneous waste dangerous,0.26,,US,D13,
CA ,11b,Other,UN1083,2.1,H00,Miscellaneous waste dangerous,0.017,,US,D9,
CA ,11b,Other,UN1085,2.1,H00,Miscellaneous waste dangerous,0.001,,US,D13,
CA ,11b,Other,UN1086,2.1,H00,Miscellaneous waste dangerous,0.002,,US,D15,
CA ,11b,Other,UN1860,2.1,H00,Miscellaneous waste dangerous,0.002,,US,D15,
CA ,11b,Other,UN1950,2.1,H00,Miscellaneous waste dangerous,88.685,,US,D10,
CA ,11b,Other,UN1954,2.1,H00,Miscellaneous waste dangerous,0.002,,US,D9,
CA ,11b,Other,UN1954,2.1,H00,Miscellaneous waste dangerous,0.11,,US,D13,
CA ,11b,Other,UN1957,2.1,H00,Miscellaneous waste dangerous,0.005,,US,D9,
CA ,11b,Other,UN1962,2.1,H00,Miscellaneous waste dangerous,0.005,,US,D13,
CA ,11b,Other,UN1971,2.1,H00,Miscellaneous waste dangerous,0.001,,US,D13,
CA ,11b,Other,UN1978,2.1,H00,Miscellaneous waste dangerous,0.014,,US,D15,
CA ,11b,Other,UN2044,2.1,H00,Miscellaneous waste dangerous,0.001,,US,D13,
CA ,11b,Other,UN2200,2.1,H00,Miscellaneous waste dangerous,0.001,,US,D13,
CA ,11b,Other,UN2203,2.1,H00,Miscellaneous waste dangerous,0.003,,US,D15,
CA ,11b,Other,UN2454,2.1,H00,Miscellaneous waste dangerous,0.001,,US,D13,
CA ,11b,Other,UN3161,2.1,H00,Miscellaneous waste dangerous,0.003,,US,D13,
CA ,11b,Other,UN1005,2.2,H00/H08.0,Miscellaneous waste dangerous; Corrosive,0.005,,US,D9,
CA ,11b,Other,UN1013,2.2,H00,Miscellaneous waste dangerous,0.004,,US,D10,
