"IMPORT OF HAZARDOUS WASTES AND OTHER WASTES IN 2007 
(as provided by Parties)",Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
DE,Y24,,A4100,,H6.1,,309.38,,BE,D12,
DE,Y24,,A4140,,H3,,17.656,"RO,HU,AT",BG,D10,
DE,Y26,Metallic oxides containing heavy metals,060315*,,H6.1,,1.008,FR,TR,D1,
DE,Y26,,A1170,,H6.1,,0.283,FR,TR,,R4
DE,Y26,,A1170,,H6.1,,59.92,SG,TW,,R12
DE,Y26,,A1170,,H6.1,,2.53,"PK,IN,OM,SA,EG,GR",AF,,R4
DE,Y26,,A1170,,H6.1,,2.506,"PK,IN,GR,ES,FRNL",AF,,R4
DE,Y26,,A1170,,H6.1,,67.5,NL,IE,,R4
DE,Y26,,A1170,,H6.1,,2.095,"MK,GR,BE",YU,,R4
DE,Y26,,A1170,,H6.1,,13.46,"FR,BE",ES,,R4
DE,Y26,,A1170,,H6.1,,113.08999999999999,BE,FR,,R12
DE,Y26,,A1170,,H6.1,,11.83,AT,HU,,R4
DE,Y26,,A1170,,H6.1,,50.89,,TW,,R12
DE,Y26,,A1170,,H6.1,,429.57,,NL,,R4
DE,Y26,,A1170,,H6.1,,6.09,,LU,,R4
DE,Y26,,A1170,,H6.1,,221.94,,GR,,R12
DE,Y26,,A1170,,H6.1,,124.04,,CH,,R4
DE,Y26,,A1170,,H6.1,,13.29,,GB,,R12
DE,Y27,,A2030,,H6.1,,10.78,AT,IT,D10,
DE,Y28,Aqueous liquid wastes containing dangerous substances,161001*,,H12,,65.66,,NL,D10,
DE,Y28,,A4130,,H11,,0.46,,NL,D10,
DE,Y29,Metallic oxides containing heavy metals,060315*,,H8,,1.96255,,NL,,R4
DE,Y29,,A1010,,H12,,14.995999999999999,,SE,,R4
DE,Y29,,A1010,,H12,,0.594,,NL,D9,
DE,Y29,,A1010,,H12,,0.212,,LV,,R4
DE,Y29,,A1010,,H12,,0.7,,FR,,R4
DE,Y29,,A1010,,H12,,0.663,,FI,,R4
DE,Y29,,A1010,,H12,,0.24,,DK,,R4
DE,Y29,,A1010,,H12,,2.3195,,CH,,R4
DE,Y29,,A1010,,H12,,3.63996,,AT,,R4
DE,Y29,,A1030,,H6.1,,130.46,,FI,,R4
DE,Y29,,A1030,,H12,,10.44,FR,ES,,R4
DE,Y29,,A1030,,H11,,10.05,NL,IE,,R5
DE,Y29,,A1030,,H11,,40.054,"RO,HU,AT",BG,,R5
DE,Y29,,A1030,,H11,,4.503,SE,NO,,R4
DE,Y29,,A1030,,H11,,53.3889,"SK,CZ",HU,,R5
DE,Y29,,A1030,,H12,,19.16,,MY,,R4
DE,Y29,,A1030,,H11,,1.597,"MK,GR,BE",YU,,R4
DE,Y29,,A1030,,H12,,0.973,,SE,,R4
DE,Y29,,A1030,,H11,,10.79,NL,GB,,R5
DE,Y29,,A1030,,H6.1,,4.412,,AT,,R4
DE,Y29,,A1030,,H6.1,,105.898,,BE,,R4
DE,Y29,,A1030,,H6.1,,381.4,,BE,D12,
DE,Y29,,A1030,,H6.1,,2775.4,,CH,,"R4,R5"
DE,Y29,,A1030,,H11,,24.003,"FR,BE,NL",GB,,R5
DE,Y29,,A1030,,H6.1,,533.42,,FR,D12,
DE,Y29,,A1030,,H6.1,,5.351,,LU,,R13
DE,Y29,,A1030,,H6.1,,2.37109,,NL,,R4
DE,Y29,,A1030,,H6.1,,882.4399999999999,,NL,D9,
DE,Y29,,A1030,,H6.1,,0.962,,SE,,R4
DE,Y29,,A1030,,H6.1,,8.374,"HU,SK,CZ",RO,,R4
DE,Y29,,A1030,,H6.1,,39.97,,BN,,R4
DE,Y29,,A1030,,H11,,87.08500000000001,,CH,D12,
DE,Y29,,A1030,,H11,,44.83,,AT,,R5
DE,Y29,,A1030,,H11,,11.69,,AT,D12,
DE,Y29,,A1030,,H11,,89.92,,CH,,R12
DE,Y29,,A1030,,H11,,247.3,NL,BE,,R5
DE,Y29,,A1030,,H11,,4343.839,,CH,,R5
DE,Y29,,A1030,,H11,,22.45,CH,IT,,R5
DE,Y29,,A1030,,H11,,55.1111,,CZ,,R5
DE,Y29,,A1030,,H11,,370.541,,DK,,R5
DE,Y29,,A1030,,H11,,44.73,,FI,,R5
DE,Y29,,A1030,,H11,,718.23,,FR,,R5
DE,Y29,,A1030,,H11,,19.9093,AT,SI,,R5
DE,Y29,,A1030,,H11,,51.88,,IE,,R5
DE,Y29,,A1030,,H11,,0.61,,LU,,R13
DE,Y29,,A1030,,H11,,3.988,,LV,,R4
DE,Y29,,A1030,,H11,,3008.6000000000004,,NL,,R5
DE,Y29,,A1030,,H11,,19.11,,NO,,R13
DE,Y29,,A1030,,H11,,1.709,,SE,,R4
DE,Y29,,A1030,,H11,,179.19,,SE,,R5
DE,Y29,,A1030,,H11,,75.69,AT,IT,,R5
DE,Y29,,A1030,,H11,,70.94,,FR,D12,
DE,Y29,,A1030,,H11,,15.99,,CH,,R4
DE,Y29,,A1180,,H12,,6.273,,AT,,R4
DE,Y29,,A1180,,H11,,212.1572,"SK,CZ",HU,,R5
DE,Y29,,A1180,,H11,,20.4675,AT,SI,,R5
DE,Y29,,A4140,,H6.1,,13.16,,AT,,"R4,R5"
DE,Y29,,A4140,,H6.1,,10.64,,CH,,"R4,R5"
DE,Y29,,A4140,,H6.1,,7.4,,DK,,"R4,R5"
DE,Y29,,A4140,,H6.1,,12.21,,NL,,"R4,R5"
DE,Y29,,A4140,,H6.1,,26.64,BE,GB,,"R4,R5"
DE,Y29,,A4140,,H6.1,,7.56,"FR,LU",ES,,R6
DE,Y29,,A4140,,H6.1,,11.23,NL,BE,,R13
DE,Y29,,A4140,,H6.1,,5.76,DK,SE,,"R4,R5"
DE,Y31,Wastes containing other heavy metals,060405*,,H6.1,,39.04,NL,IE,D1,
DE,Y31,,A1020,,H6.1,,7093.55,AT,IT,D1,
DE,Y31,,A1020,,H6.1,,62.12,NL,BE,,R4
DE,Y31,,A1020,,H6.1,,13774.27,"FR,BE",GB,,R4
DE,Y31,,A1020,,H6.1,,16.23,CH,IT,D10,
DE,Y31,,A1020,,H6.1,,143.82,"BE,NL,GB",US,,R4
DE,Y31,,A1020,,H6.1,,24.293,BE,NL,,R4
DE,Y31,,A1020,,H6.1,,26.32,"AT,CH",IT,D1,
DE,Y31,,A1020,,H6.1,,23.68,AT,HU,,R4
DE,Y31,,A1020,,H6.1,,2489.415,,US,,R4
DE,Y31,,A1020,,H6.1,,1690.2900000000002,,NL,,R4
DE,Y31,,A1020,,H12,,228.3,NL,IE,D1,
DE,Y31,,A1020,,H11,,154.1,,NL,D12,
DE,Y31,,A1020,,H6.1,,21.51,BE,FR,,R4
DE,Y31,,A1020,,H12,,794.38,BE,NL,,R4
DE,Y31,,A1020,,H6.1,,114.25999999999999,,LU,,R4
DE,Y31,,A1020,,H12,,69.62,NL,IE,D12,
DE,Y31,,A1020,,H6.1,,850.44,,AT,,R4
DE,Y31,,A1020,,H6.1,,1425.9199999999998,,BE,,R4
DE,Y31,,A1020,,H6.1,,845.42,,CH,,R5
DE,Y31,,A1020,,H6.1,,2982.37,,FR,,R4
DE,Y31,,A1020,,H6.1,,38.74,,FR,D12,
DE,Y31,,A1020,,H6.1,,159.435,,GR,,R4
DE,Y31,,A1030,,H8,,20.958,,CH,,R4
DE,Y31,,A1070,,H6.1,,955.5,,BE,,R4
DE,Y31,,A1160,,H8,,62.58,AT,CH,,R4
DE,Y31,,A1160,,H8,,888.107,NL,BE,,R4
DE,Y31,,A1160,,H8,,60.52,SE,FI,,R4
DE,Y31,,A1160,,H8,,583.88,PL,UA,,R4
DE,Y31,,A1160,,H8,,683.13,PL,LT,,R4
DE,Y31,,A1160,,H8,,13.341,NL,PT,,R13
DE,Y31,,A1160,,H8,,33.52,"MK,GR,BE",YU,,R4
DE,Y31,,A1160,,H8,,2999.864,CH,IT,,R4
DE,Y31,,A1160,,H8,,1138.2,,LU,,R4
DE,Y31,,A1160,,H8,,2375.217,,FR,,R4
DE,Y31,,A1160,,H8,,6035.4890000000005,,FI,,R4
DE,Y31,,A1160,,H8,,375.81,,AT,,R4
DE,Y31,,A1160,,H8,,2547.3559999999998,,DK,,R4
DE,Y31,,A1160,,H8,,7481.6950000000015,,CH,,R4
DE,Y31,,A1160,,H8,,7.53,,CH,,R12
DE,Y31,,A1160,,H8,,566.78,,BE,,R4
DE,Y31,,A1160,,H8,,354.771,"PK,IN,OM,SA,EG,GR",AF,,R4
DE,Y31,,A1160,,H8,,4546.414999999999,,NL,,R4
DE,Y31,,A1180,,H12,,40.789,NL,IE,,"R4,R5"
DE,Y31,,A1180,,H12,,8.634,,NO,,R4
DE,Y31,,A1180,,H12,,36.02,,PL,,"R4,R5"
DE,Y31,,A1180,,H12,,1874.261,,PL,,R5
DE,Y31,,A1180,,H12,,72.788,,SE,,R4
DE,Y31,,A1180,,H12,,7171.792,,SE,,R5
DE,Y31,,A1180,,H12,,11.13,BE,FR,,"R4,R5"
DE,Y31,,A1180,,H12,,17.7,NL,GB,,"R3,R4"
DE,Y31,,A1180,,H12,,83.17,NL,IE,,R4
DE,Y31,,A1180,,H12,,135.086,,NL,,R4
DE,Y31,,A1180,,H12,,27.003,NL,IE,D10,
DE,Y31,,A1180,,H12,,19.25,NL,GB,,"R4,R5"
DE,Y31,,A1180,,H12,,7.39,,AT,,"R4,R5"
DE,Y31,,A1180,,H12,,669.621,,NO,,R5
DE,Y31,,A1180,,H12,,36.65,SI,HR,,R4
DE,Y31,,A1180,,H12,,30.2,,NL,,R12
DE,Y31,,A1180,,H12,,33.879999999999995,,BE,,R4
DE,Y31,,A1180,,H12,,410.24,,CH,,R5
DE,Y31,,A1180,,H12,,78.976,,DK,,R4
DE,Y31,,A1180,,H12,,81.00999999999999,,FI,,R4
DE,Y31,,A1180,,H12,,605.865,,FR,,R4
DE,Y31,,A1180,,H12,,46.31400000000001,,LU,,R13
DE,Y31,,A1180,,H12,,34.798,,LU,,"R3,R4"
DE,Y31,,A1180,,H12,,72.0,,LV,,R4
DE,Y31,,A1180,,H12,,2711.853,,DK,,"R4,R5"
DE,Y31,,A2010,,H12,,213.66,NL,IE,,R5
DE,Y31,,A2010,,H12,,4060.1800000000003,,NO,,R5
DE,Y31,,A2010,,H12,,820.13,,PL,,R5
DE,Y31,,A2010,,H12,,599.6,,SE,,R5
DE,Y31,,A2010,,H12,,107.258,AT,SI,,R5
DE,Y31,,A2010,,H12,,308.75,"AT,CZ",IT,,R5
DE,Y31,,A2010,,H12,,98.76,,IT,,R5
DE,Y31,,A2010,,H12,,1613.38,CZ,AT,,R5
DE,Y31,,A2010,,H12,,348.65,NL,IR,,R5
DE,Y31,,A2010,,H12,,155.81,BE,FR,,"R4,R5"
DE,Y31,,A2010,,H12,,1459.682,,AT,,R5
DE,Y31,,A2010,,H12,,2810.7299999999996,,GB,,R5
DE,Y31,,A2010,,H12,,422.56,,AT,,R4
DE,Y31,,A2010,,H12,,129.3,,AT,D9,
DE,Y31,,A2010,,H12,,274.26,,CH,,R4
DE,Y31,,A2010,,H12,,372.43,,CH,,R5
DE,Y31,,A2010,,H12,,287.39,,CZ,,R5
DE,Y31,,A2010,,H12,,3708.04,,DK,,R5
DE,Y31,,A2010,,H12,,63.7,,EE,,R5
DE,Y31,,A2010,,H12,,2755.6000000000004,,FI,,R5
DE,Y31,,A2010,,H12,,154.19,,GB,,R4
DE,Y31,,A4100,,H12,,579.4,AT,IT,,R5
DE,Y31,,A4100,,H12,,530.1,AT,IT,D1,
DE,Y31,,A4100,,H6.1,,75.02,,FR,,R5
DE,Y31,,A4100,,H6.1,,848.54,,NL,,R5
DE,Y31,,A4100,,H6.1,,2.2,,NL,D12,
DE,Y31,,A4100,,H11,,458.91,,BE,,R5
DE,Y31,,A4130,,H6.1,,7.22,,FR,D10,
DE,Y32,,A4100,,H11,,494.529,AT,IT,,R5
DE,Y32,,A4100,,H11,,521.076,"FR,BE,NL",GB,,R5
DE,Y32,,A4100,,H11,,798.58,,FR,,R5
DE,Y33,Residues from alumina production not elsewhere specified or included,AA 110,,H4.3,,929.54,FR,ES,D1,
DE,Y33,,A3160,,H12,,85.51,,NL,,R1
DE,Y34,,A3160,,H8,,604.95,,BE,,R5
DE,Y34,,A3160,,H8,,847.52,,FR,,R2
DE,Y34,,A3160,,H8,,77.0,CH,IT,D10,
DE,Y34,,A4090,,H8,,1.266,NL,IE,,R4
DE,Y34,,A4090,,H8,,502.627,,NL,D10,
DE,Y34,,A4090,,H8,,46.04,,NL,D9,
DE,Y34,,A4090,,H8,,95.38,AT,IT,D10,
DE,Y34,,A4090,,H8,,0.221,FR,TR,D9,
DE,Y34,,A4090,,H8,,4325.76,"FR,BE,NL",GB,,R5
DE,Y34,,A4090,,H8,,0.294,"MK,GR,BE",YU,D9,
DE,Y34,,A4090,,H8,,1021.86,NL,BE,,R5
DE,Y34,,A4090,,H8,,74.09,"SI,AT",HR,D9,
DE,Y34,,A4090,,H8,,0.383,,AT,,R4
DE,Y34,,A4090,,H8,,193.38199999999998,NL,IE,D10,
DE,Y34,,A4090,,H8,,220.485,NL,IE,D9,
DE,Y34,,A4090,,H8,,9015.63,,NL,,R5
DE,Y34,,A4090,,H8,,7.04,NL,IE,,R12
DE,Y34,,A4090,,H8,,17018.15,,BE,,R5
DE,Y34,,A4090,,H11,,25.443,NL,IE,D10,
DE,Y34,,A4090,,H8,,618.25,,BE,,"R1,R5"
DE,Y34,,A4090,,H8,,154.14,,AT,,R5
DE,Y34,,A4090,,H8,,40.0,,NL,,R4
DE,Y34,,A4090,,H8,,5.1,,CH,,R5
DE,Y34,,A4090,,H8,,521.06,,CZ,,R5
DE,Y34,,A4090,,H8,,207.30399999999997,,DK,,R4
DE,Y34,,A4090,,H8,,22.08,,DK,,R5
DE,Y34,,A4090,,H8,,255.735,,GB,,R4
DE,Y34,,A4090,,H8,,3.0,,GR,D10,
DE,Y34,,A4090,,H8,,318.72,,LV,,R5
DE,Y34,,A4090,,H8,,89.9,,AT,,R3
DE,Y34,,A4130,,H12,,26.34,,LU,,R3
DE,Y34,,A4140,,H3,,31.299,"SG,EG",PH,D10,
DE,Y34,,A4140,,H11,,12.9,,BE,D10,
DE,Y34,,A4140,,H8,,2.84,,SE,,"R3,R5"
DE,Y34,,A4140,,H8,,2.6,,DK,,"R3,R5"
DE,Y34,,A4140,,H6.1,,78.72999999999999,"FR,BE",ES,D10,
DE,Y34,,A4140,,H3,,7.43,"HU,AT",RO,D10,
DE,Y34,,A4140,,H3,,41.099999999999994,"FR,BE",ES,D10,
DE,Y34,,A4140,,H3,,4.44,NL,IE,D10,
DE,Y34,,A4140,,H12,,5.74,,PL,,R5
DE,Y34,,A4140,,H12,,6.22,BE,GB,,"R3,R5"
DE,Y35,,A1170,,H10,,0.29,FR,TR,,R4
DE,Y35,,A1180,,H12,,61.1,,NL,,R4
DE,Y35,,A2030,,H4.2,,288.15,,GB,,R4
DE,Y35,,A2030,,H4.2,,236.988,NL,SG,,R4
DE,Y35,,A2030,,H4.2,,97.031,GB,IE,,R4
DE,Y35,,A2030,,H4.2,,68.399,NL,IE,,R4
DE,Y35,,A4090,,H8,,35.82,,NL,,R12
DE,Y35,,A4090,,H8,,14.12,NL,IE,,R1
DE,Y35,,A4090,,H8,,0.342,"MK,GR,ES,BE",RS,D9,
DE,Y35,,A4090,,H6.1,,0.22,,NL,,R5
DE,Y35,,A4090,,H8,,1.555,"MK,GR,BE",YU,D9,
DE,Y35,,A4090,,H8,,46.919999999999995,,NL,D10,
DE,Y35,,A4090,,H8,,9.914,,IE,D10,
DE,Y35,,A4090,,H8,,6.78,,FR,D12,
DE,Y35,,A4090,,H8,,20.89,,DK,,R5
DE,Y35,,A4090,,H8,,14.81,,DK,,R4
DE,Y35,,A4090,,H8,,24.82,,BE,,R4
DE,Y35,,A4090,,H8,,47.382,NL,IE,D10,
DE,Y35,,A4090,,H8,,2918.731,,CH,,R4
DE,Y35,,A4100,,H8,,5598.16,,AT,,R5
DE,Y35,,A4130,,H8,,50.15,NL,IE,,R12
DE,Y35,,A4130,,H11,,6.76,NL,IE,D10,
DE,Y35,,A4140,,H5.1,,16.8,,FR,,"R3,R4"
DE,Y35,,A4140,,H8,,19.42,,LU,,R5
DE,Y36,,A1180,,H11,,9.43,,LU,,R13
DE,Y36,,A2050,,H11,,45.64,NL,GB,,"R2,R4"
DE,Y36,,A2050,,H11,,23475.776,"CH,AT",IT,D1,
DE,Y36,,A2050,,H11,,46.14,"ES,BE",MT,D1,
DE,Y36,,A2050,,H11,,13.28,"ES,PT,BE",MT,D1,
DE,Y36,,A2050,,H11,,6.304,FR,TR,D1,
DE,Y36,,A2050,,H11,,506.0,"FR,BE",GB,,R4
DE,Y36,,A2050,,H11,,57.924,"FR,LU",ES,,R4
DE,Y36,,A2050,,H11,,143.7,"IT,CH",MT,D1,
DE,Y36,,A2050,,H11,,577.839,LU,FR,,"R2,R4"
DE,Y36,,A2050,,H11,,245.32,LU,FR,,R4
DE,Y36,,A2050,,H11,,1.479,"MK,GR,BE",YU,D1,
DE,Y36,,A2050,,H11,,81.249,NL,BE,,R4
DE,Y36,,A2050,,H11,,154.776,NL,GB,,R4
DE,Y36,,A2050,,H11,,282.334,TR,GR,D1,
DE,Y36,,A2050,,H11,,5089.150000000001,NL,IE,D1,
DE,Y36,,A2050,,H11,,134.9,NL,GR,D1,
DE,Y36,,A2050,,H11,,0.434,NL,PT,D12,
DE,Y36,,A2050,,H11,,1832.8600000000001,CH,IT,D1,
DE,Y36,,A2050,,H11,,0.64,"MK,GR,ES",RS,D1,
DE,Y36,,A2050,,H11,,2.427,,LU,,R13
DE,Y36,,A2050,,H11,,2978.1000000000004,NL,IT,D1,
DE,Y36,,A2050,,H11,,443.69,BE,IE,D1,
DE,Y36,,A2050,,H11,,179.0,,BE,,"R2,R4"
DE,Y36,,A2050,,H11,,35.75,,BE,D1,
DE,Y36,,A2050,,H11,,264.88,,CY,D1,
DE,Y36,,A2050,,H11,,144.285,,DK,,R4
DE,Y36,,A2050,,H11,,626.1719999999999,,FR,,R4
DE,Y36,,A2050,,H11,,2056.34,,GR,D1,
DE,Y36,,A2050,,H11,,7.71,,AT,D12,
DE,Y36,,A2050,,H11,,0.38,,LU,,R4
DE,Y36,,A2050,,H11,,113.96000000000001,,LU,,R5
DE,Y36,,A2050,,H11,,4603.2300000000005,,LU,D1,
DE,Y36,,A2050,,H11,,87.3,,LU,D12,
DE,Y36,,A2050,,H11,,37.916,,NL,,R4
DE,Y36,,A2050,,H11,,808.9860000000001,AT,IT,,R4
DE,Y36,,A2050,,H11,,72019.45,AT,IT,D1,
DE,Y36,,A2050,,H11,,4.66,AT,SI,D1,
DE,Y36,,A2050,,H11,,12765.8,"AT,CH",IT,D1,
DE,Y36,,A2050,,H11,,298.057,,FR,D9,
DE,Y37,,A4140,,H4.1,,10.552,,NL,D10,
DE,Y37,,A4140,,H6.1,,27.49,,CH,D12,
DE,Y37,,A4140,,H3,,22.884,,NL,D10,
DE,Y37,,A4140,,H3,,50.0,"RO,HU,AT",BG,D10,
DE,Y38,Waste isocyanates,080501*,,H6.1,,93.97,,BE,,R12
DE,Y41,,A3140,,H3,,341.86,AT,IT,D10,
DE,Y41,,A3150,,H6.1,,2.721,"MK,GR,ES,BE",RS,D10,
DE,Y41,,A3150,,H6.1,,238.52,AT,IT,D10,
DE,Y41,,A3150,,H6.1,,176.7,AT,SI,,R2
DE,Y41,,A3150,,H6.1,,605.06,BE,IL,D10,
DE,Y41,,A3150,,H6.1,,279.34000000000003,FR,ES,D10,
DE,Y41,,A3150,,H6.1,,152.6,"SI,AT",HR,D10,
DE,Y41,,A3150,,H6.1,,5.922,"MK,GR,BE",YU,D10,
DE,Y41,,A3150,,H6.1,,2584.379,NL,IE,D10,
DE,Y41,,A3150,,H6.1,,462.18,"NL,GB,BE",IL,D10,
DE,Y41,,A3150,,H6.1,,35.4,"SI,AT",HR,,R2
DE,Y41,,A3150,,H6.1,,1849.954,,NL,D10,
DE,Y41,,A3150,,H6.1,,444.16,"IT,AT",MT,D10,
DE,Y41,,A3150,,H6.1,,59.5,,AT,,R2
DE,Y41,,A3150,,H6.1,,274.39,BE,IL,,"R1,R6"
DE,Y41,,A3150,,H3,,61.1,,LT,D10,
DE,Y41,,A3150,,H6.1,,209.96,,NL,,R3
DE,Y41,,A3150,,H6.1,,18.87,,AT,,R13
DE,Y41,,A3150,,H6.1,,80.24,,AT,D10,
DE,Y41,,A3150,,H6.1,,155.96,,BE,D10,
DE,Y41,,A3150,,H6.1,,438.06,,CH,,R2
DE,Y41,,A3150,,H6.1,,6.1,,CZ,,R2
DE,Y41,,A3150,,H6.1,,25.02,,DK,D10,
DE,Y41,,A3150,,H6.1,,212.04,,ES,D10,
DE,Y41,,A3150,,H6.1,,602.0,,NL,,R1
DE,Y41,,A3150,,H6.1,,19.59,,NL,,R2
DE,Y41,,A3150,,H3,,307.5,,NL,,R1
DE,Y42,Waste alumina,AB 100,,H12,,204.21,,NL,,R4
DE,Y42,,A3140,,H3,,1956.3600000000001,CH,IT,,R2
DE,Y42,,A3140,,H3,,1172.11,CH,IT,,R1
DE,Y42,,A3140,,H3,,36.76,BE,NL,,R3
DE,Y42,,A3140,,H3,,92.86,BE,IL,,R2
DE,Y42,,A3140,,H3,,6.208,BE,IE,D10,
DE,Y42,,A3140,,H3,,2417.2799999999997,BE,FR,,R2
DE,Y42,,A3140,,H3,,556.5,AT,SI,,R2
DE,Y42,,A3140,,H3,,2207.56,AT,IT,D10,
DE,Y42,,A3140,,H3,,1349.0900000000001,AT,IT,,R1
DE,Y42,,A3140,,H3,,83.6,,PL,,R2
DE,Y42,,A3140,,H3,,1.546,FR,TR,D10,
DE,Y42,,A3140,,H3,,17415.691,,NL,D10,
DE,Y42,,A3140,,H3,,5.61,"PK,IN,GR,ES,FRNL",AF,,R13
DE,Y42,,A3140,,H3,,41.47,,NL,D13,
DE,Y42,,A3140,,H3,,6.543,"GR,TR,GB,NL",MK,,R1
DE,Y42,,A3140,,H3,,3543.07,NL,BE,,R2
DE,Y42,,A3140,,H3,,1400.16,NL,BE,D10,
DE,Y42,,A3140,,H3,,4830.499000000001,NL,IE,,R1
DE,Y42,,A3140,,H3,,145.49,NL,IE,,R12
DE,Y42,,A3140,,H3,,17.66,NL,IE,,R2
DE,Y42,,A3140,,H3,,57.621,NL,PT,,R13
DE,Y42,,A3140,,H3,,1126.079,"PK,IN,OM,SA,EG,GR",AF,,R1
DE,Y42,,A3140,,H3,,121.5,"SI,AT",HR,D10,
DE,Y42,,A3140,,H6.1,,124.06,,CH,,R2
DE,Y42,,A3140,,H6.1,,983.2,,NL,D10,
DE,Y42,,A3140,,H6.1,,12.12,"ES,FR,BE",PT,D10,
DE,Y42,,A3140,,H3,,1237.6999999999998,,CH,,R1
DE,Y42,,A3140,,H3,,279.58,,NL,,R3
DE,Y42,,A3140,,H3,,3552.734,NL,IE,D10,
DE,Y42,,A3140,,H3,,26.05,,BE,D10,
DE,Y42,,A3140,,H12,,48.22,,AT,,R2
DE,Y42,,A3140,,H12,,288.47999999999996,,CH,,R3
DE,Y42,,A3140,,H12,,4.4,,CY,D10,
DE,Y42,,A3140,,H12,,416.26000000000005,,DK,,R3
DE,Y42,,A3140,,H12,,722.04,,NL,,R2
DE,Y42,,A3140,,H12,,25.65,,NL,,R3
DE,Y42,,A3140,,H12,,3.883,NL,PT,,R13
DE,Y42,,A3140,,H3,,3.911,,AT,,R12
DE,Y42,,A3140,,H3,,510.051,,AT,,R2
DE,Y42,,A3140,,H3,,2385.7999999999997,,NL,,R2
DE,Y42,,A3140,,H3,,1431.046,,BE,,R2
DE,Y42,,A3140,,H3,,292.995,,CZ,,R2
DE,Y42,,A3140,,H3,,156.66,,CH,,R2
DE,Y42,,A3140,,H3,,57.5,,LU,D10,
DE,Y42,,A3140,,H3,,156.28,,NL,,R12
DE,Y42,,A3140,,H3,,3325.6,,NL,,R1
DE,Y42,,A3140,,H3,,671.0,,AT,D10,
DE,Y42,,A3140,,H3,,188.649,,LU,D13,
DE,Y42,,A3140,,H11,,44.26,,CH,D10,
DE,Y42,,A3140,,H3,,2.87,,LU,,R2
DE,Y42,,A3140,,H3,,200.72,,IS,D10,
DE,Y42,,A3140,,H3,,741.06,,IE,D10,
DE,Y42,,A3140,,H3,,0.83,,GR,D10,
DE,Y42,,A3140,,H3,,343.70000000000005,,GB,,R3
DE,Y42,,A3140,,H3,,999.8799999999999,,FR,,R2
DE,Y42,,A3140,,H3,,303.40000000000003,,FR,,R12
DE,Y42,,A3140,,H3,,23.984,,DK,D10,
DE,Y42,,A3140,,H3,,87.077,,LU,D15,
DE,Y42,,A4120,,H5.2,,0.372,,NL,D10,
DE,Y44,,A4100,,H6.1,,11.9,,NL,,R4
DE,Y45,,A4120,,H5.2,,34.99,,BE,D10,
DE,Y45,,A4140,,H8,,1.18,,NL,D10,
DE,Y45,,A4140,,H3,,76.628,,NL,D10,
DE,Y45,,A4140,,H6.1,,6.139,,SE,D10,
DE,Y45,,A4140,,H6.1,,34.02,AT,IT,D10,
DE,Y_,Wastes containing chlorosilanes (41),060802*,,H3,,10.38,AT,IT,D10,
DE,Y_,Aqueous washing liquids and mother liquors (41),070101*,,H12,,239.26,,NL,D10,
DE,Y_,Aqueous washing liquids and mother liquors (41),070101*,,H12,,7723.039999999999,AT,IT,D10,
DE,Y_,Aqueous washing liquids and mother liquors (41),070101*,,H12,,378.02,"CH,AT",IT,,R3
DE,Y_,Aqueous washing liquids and mother liquors (41),070101*,,H12,,2.266,NL,IE,D10,
DE,Y_,Aqueous washing liquids and mother liquors (41),070201*,,H12,,56.68,,FR,,R13
DE,Y_,Aqueous washing liquids and mother liquors (41),070201*,,H12,,101.24000000000001,,FR,,R3
DE,Y_,Aqueous washing liquids and mother liquors (41),070201*,,H12,,1084.32,,NL,D10,
DE,Y_,Mixed hazardous waste (41),070214*,,H12,,45.36,,LU,D1,
DE,Y_,Aqueous washing liquids and mother liquors (41),070601*,,H12,,282.82,,FR,,R13
DE,Y_,Aqueous washing liquids and mother liquors (41),070701*,,H12,,80.76,,CH,D10,
DE,Y_,Aqueous washing liquids and mother liquors (41),070701*,,H6.1,,1010.05,"CH,AT",IT,D10,
DE,Y_,Aqueous sludges from boiler cleansing (31),100122*,,H12,,278.98,"SI,AT",HR,D9,
DE,Y_,Used waxes and fats (19),120112*,,H12,,19.32,,NL,D10,
DE,Y_,Used waxes and fats (19),120112*,,H12,,29.06,,LU,D13,
DE,Y_,Used waxes and fats (19),120112*,,H12,,40.41,,CH,D10,
DE,Y_,Used waxes and fats (19),120112*,,H12,,40.8,,LU,D10,
DE,Y_,"Contaminated items (cloths, clothing, filter materials) (36)",150202*,,H4.1,,198.78,AT,SI,D10,
DE,Y_,"Contaminated items (cloths, clothing, filter materials) (36)",150202*,,H12,,17.44,,BE,,R12
DE,Y_,"Contaminated items (cloths, clothing, filter materials) (36)",150202*,,H4.1,,7.5,,LU,,"R3,R4"
DE,Y_,"Contaminated items (cloths, clothing, filter materials) (36)",150202*,,H4.1,,1.0,,HU,,R4
DE,Y_,"Contaminated items (cloths, clothing, filter materials) (36)",150202*,,H4.1,,351.72,,LU,D10,
DE,Y_,"Contaminated items (cloths, clothing, filter materials) (36)",150202*,,H4.1,,13.34,,LU,D13,
DE,Y_,"Contaminated items (cloths, clothing, filter materials) (36)",150202*,,H4.1,,107.646,,LU,D15,
DE,Y_,"Contaminated items (cloths, clothing, filter materials) (36)",150202*,,H4.1,,44.08,,NL,,R1
DE,Y_,"Contaminated items (cloths, clothing, filter materials) (36)",150202*,,H4.1,,218.249,,NL,D10,
