"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code",Column 13,Column 14,Column 15
CA,Y19,Metal carbonyls,,6.1,H06.1|H03.0,Toxic (Poisonous); Flammable Liquids,0.005,,US,D10,,,,
CA,Y19,Metal carbonyls,,4.2,H04.2,Spontaneous Combustion,0.007,,US,D10,,,,
CA,Y19,Metal carbonyls,,4.2,H04.2,Spontaneous Combustion,17.762,BE,DE,,R8,,,
CA,"Y20,Y31",Beryllium; beryllium compounds; Lead; lead compounds,,,H13.0,Leachate,0.672,,US,,R4,,,
CA,"Y20,Y32",Beryllium; beryllium compounds; Inorganic fluorine compounds excluding calcium fluoride,,4.3,H04.3,Flammable Gases in contact with water,1177.004,,US,,R4,,,
CA,Y21,Hexavalent chromium compounds,,,H13.0,Leachate,6.797,,US,,R4,,,
CA,Y21,Hexavalent chromium compounds,,6.1,H06.1,Toxic (Poisonous),0.279,,US,D10,,,,
CA,Y21,Hexavalent chromium compounds,,6.1,H06.1,Toxic (Poisonous),49.518,,US,,R4,,,
CA,"Y21,Y22",Hexavalent chromium compounds; Copper compounds,,,H12.0,Ecotoxic,13.476,,US,,R4,,,
CA,"Y21,Y22",Hexavalent chromium compounds; Copper compounds,,6.1,H06.1,Toxic (Poisonous),16.000,,US,,R4,,,
CA,"Y21,Y26",Hexavalent chromium compounds; Cadmium; cadmium compounds,,,H13.0,Leachate,352.641,,US,D9,,,,
CA,"Y21,Y31",Hexavalent chromium compounds; Lead; lead compounds,,,H12.0,Ecotoxic,2.815,,US,D9,,,,
CA,"Y21,Y31,Y16","Hexavalent chromium compounds; Lead; lead compounds; Wastes from production, formulation and use of photographic chemicals and processing materials",,,H13.0,Leachate,2.000,,US,D9,,,,
CA,"Y21,Y31,Y17",Hexavalent chromium compounds; Lead; lead compounds; Wastes resulting from surface treatment of metals and plastics,,,H13.0,Leachate,4.138,,US,D9,,,,
CA,"Y21,Y31,Y17",Hexavalent chromium compounds; Lead; lead compounds; Wastes resulting from surface treatment of metals and plastics,,,H13.0,Leachate,7.617,,US,,R4,,,
CA,"Y21,Y31,Y34",Hexavalent chromium compounds; Lead; lead compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,6.339,,US,D9,,,,
CA,"Y21,Y31,Y34",Hexavalent chromium compounds; Lead; lead compounds; Acidic solutions or acids in solid form,,8,H08.0|H06.1,Corrosives; Toxic (Poisonous),0.517,,US,D9,,,,
CA,"Y21,Y31,Y35",Hexavalent chromium compounds; Lead; lead compounds; Basic solutions or bases in solid form,,8,H08.0,Corrosives,160.357,,US,D3,,,,
CA,"Y21,Y34",Hexavalent chromium compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,9.980,,US,D3,,,,
CA,"Y21,Y34",Hexavalent chromium compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,16.448,,US,,R4,,,
CA,"Y21,Y39",Hexavalent chromium compounds; Phenols; phenol compounds including chlorophenols,,,H12.0,Ecotoxic,2613.655,,US,D3,,,,
CA,"Y21,Y42",Hexavalent chromium compounds; Organic solvents excluding halogenated solvents,,4.0999999999999996,H04.1|H13.0,Flammable Solids; Leachate,98.160,,US,D10,,,,
CA,Y22,Copper compounds,,6.1,H06.1,Toxic (Poisonous),54.600,,US,D9,,,,
CA,"Y22,Y23,Y26",Copper compounds; Zinc compounds; Cadmium; cadmium compounds,,5.0999999999999996,H05.1,Oxidizing,0.304,,US,,R4,,,
CA,"Y22,Y31",Copper compounds; Lead; lead compounds,,,H13.0,Leachate,3075.506,,US,,R4,,,
CA,"Y22,Y31,Y34",Copper compounds; Lead; lead compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,7.884,,US,,R4,,,
CA,"Y22,Y33,Y35",Copper compounds; Inorganic cyanides; Basic solutions or bases in solid form,,6.1,H06.1,Toxic (Poisonous),0.008,,US,D10,,,,
CA,"Y22,Y34",Copper compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,1.039,,US,D9,,,,
CA,"Y22,Y34",Copper compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,1.374,,US,D9,,,,
CA,"Y22,Y34",Copper compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,126.000,,US,,R__,,,
CA,"Y22,Y35,Y3","Copper compounds; Basic solutions or bases in solid form; Waste pharmaceuticals, drugs and medicines",,6.1,H06.1|H08.0,Toxic (Poisonous); Corrosives,6.600,,US,D9,,,,
CA,Y23,Zinc compounds,,,H12.0,Ecotoxic,112.917,,US,,R4,,,
CA,Y23,Zinc compounds,,4.2,H04.2|H04.3,Spontaneous Combustion; Flammable Gases in contact with water,0.001,,US,D15,,,,
CA,Y23,Zinc compounds,,4.2,H04.2|H06.1,Spontaneous Combustion; Toxic (Poisonous),7.219,,US,D10,,,,
CA,Y23,Zinc compounds,,4.3,H04.3|H04.2,Flammable Gases in contact with water; Spontaneous Combustion,0.791,,US,D10,,,,
CA,Y23,Zinc compounds,,8,H08.0,Corrosives,2.442,,US,,R4,,,
CA,Y23,Zinc compounds,,4.2,H04.2,Spontaneous Combustion,1.522,,US,D10,,,,
CA,Y23,Zinc compounds,,8,H08.0,Corrosives,72.334,,US,,R4,,,
CA,Y23,Zinc compounds,,4.0999999999999996,H04.1,Flammable Solids,13.796,,US,D14,,,,
CA,Y23,Zinc compounds,,4.3,H04.3|H04.2,Flammable Gases in contact with water; Spontaneous Combustion,0.004,,US,D10,,,,
CA,"Y23,Y26,Y31",Zinc compounds; Cadmium; cadmium compounds; Lead; lead compounds,,,H12.0,Ecotoxic,23905.124,,US,,R4,,,
CA,"Y23,Y28,Y31",Zinc compounds; Tellurium; tellurium compounds; Lead; lead compounds,,,H12.0,Ecotoxic,173.964,,US,,R4,,,
CA,"Y23,Y31",Zinc compounds; Lead; lead compounds,,,H13.0,Leachate,365.992,,US,,R4,,,
CA,"Y23,Y31,Y34,Y17",Zinc compounds; Lead; lead compounds; Acidic solutions or acids in solid form; Wastes resulting from surface treatment of metals and plastics,,8,H08.0,Corrosives,148.440,,US,,R__,,,
CA,"Y23,Y35",Zinc compounds; Basic solutions or bases in solid form,,8,H08.0,Corrosives,43.612,,US,,R13,,,
CA,"Y23,Y35",Zinc compounds; Basic solutions or bases in solid form,,8,H08.0,Corrosives,208.568,,US,,R4,,,
CA,Y24,Arsenic; arsenic compounds,,5.0999999999999996,H05.1|H08.0,Oxidizing; Corrosives,0.352,,US,D10,,,,
CA,"Y24,Y26,Y21,Y18",Arsenic; arsenic compounds; Cadmium; cadmium compounds; Hexavalent chromium compounds; Residues arising from industrial waste disposal operations,,,H13.0,Leachate,143.620,,US,D9,,,,
CA,"Y24,Y26,Y31",Arsenic; arsenic compounds; Cadmium; cadmium compounds; Lead; lead compounds,,,H13.0,Leachate,0.007,,US,,R4,,,
CA,"Y24,Y26,Y31,Y5","Arsenic; arsenic compounds; Cadmium; cadmium compounds; Lead; lead compounds; Wastes from the manufacture, formulation and use of wood preserving chemicals",,,H13.0,Leachate,8.100,,US,D9,,,,
CA,"Y24,Y31",Arsenic; arsenic compounds; Lead; lead compounds,,6.1,H06.1,Toxic (Poisonous),49.921,,US,D10,,,,
CA,"Y24,Y31,Y4","Arsenic; arsenic compounds; Lead; lead compounds; Wastes from the production, formulation and use of biocides and phytopharmaceuticals",,6.1,H06.1,Toxic (Poisonous),0.717,,US,D10,,,,
CA,Y25,Selenium; selenium compounds,,,H13.0,Leachate,467.300,,US,,R__,,,
CA,"Y25,Y26",Selenium; selenium compounds; Cadmium; cadmium compounds,,,H13.0,Leachate,0.350,,US,,R4,,,
CA,"Y25,Y26,Y29",Selenium; selenium compounds; Cadmium; cadmium compounds; Mercury; mercury compounds,,,H12.0,Ecotoxic,280.371,,US,D5,,,,
CA,"Y25,Y31,Y41",Selenium; selenium compounds; Lead; lead compounds; Halogenated organic solvents,,,H12.0,Ecotoxic,476.142,,US,,R3,,,
CA,Y26,Cadmium; cadmium compounds,,,H12.0,Ecotoxic,207.122,,US,,R4,,,
CA,Y26,Cadmium; cadmium compounds,,8,H08.0,Corrosives,21.135,,US,,R4,,,
CA,Y26,Cadmium; cadmium compounds,,8,H08.0,Corrosives,36.014,,US,,R4,,,
CA,"Y26,Y25,Y31",Cadmium; cadmium compounds; Selenium; selenium compounds; Lead; lead compounds,,8,H08.0,Corrosives,2.242,,US,,R4,,,
CA,"Y26,Y28",Cadmium; cadmium compounds; Tellurium; tellurium compounds,,,H13.0,Leachate,26.452,,DE,,R4,,,
CA,"Y26,Y29,Y31",Cadmium; cadmium compounds; Mercury; mercury compounds; Lead; lead compounds,,,H12.0,Ecotoxic,53.118,,US,D13,,,,
CA,"Y26,Y31,Y22",Cadmium; cadmium compounds; Lead; lead compounds; Copper compounds,,,H12.0,Ecotoxic,1450.749,US,KR,,R4,,,
CA,"Y26,Y31,Y22",Cadmium; cadmium compounds; Lead; lead compounds; Copper compounds,,,H12.0,Ecotoxic,854.698,,US,,R4,,,
CA,"Y26,Y31,Y34",Cadmium; cadmium compounds; Lead; lead compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,2796.484,,US,D9,,,,
CA,"Y26,Y35",Cadmium; cadmium compounds; Basic solutions or bases in solid form,,8,H08.0,Corrosives,21.731,,US,,R13,,,
CA,"Y26,Y35",Cadmium; cadmium compounds; Basic solutions or bases in solid form,,8,H08.0,Corrosives,79.251,,US,,R13,,,
CA,"Y26,Y35",Cadmium; cadmium compounds; Basic solutions or bases in solid form,,8,H08.0,Corrosives,11.174,,US,,R4,,,
CA,"Y27,Y35,Y32",Antimony; antimony compounds; Basic solutions or bases in solid form; Inorganic fluorine compounds excluding calcium fluoride,,8,H08.0|H06.1,Corrosives; Toxic (Poisonous),0.008,,US,D13,,,,
CA,Y29,Mercury; mercury compounds,,,H13.0,Leachate,178.234,,US,,R4,,,
CA,Y29,Mercury; mercury compounds,,6.1,H06.1,Toxic (Poisonous),0.005,,US,,R13,,,
CA,Y29,Mercury; mercury compounds,,6.1,H06.1,Toxic (Poisonous),0.106,,US,,R13,,,
CA,Y29,Mercury; mercury compounds,,8,H08.0,Corrosives,0.070,,US,,R13,,,
CA,Y29,Mercury; mercury compounds,,8,H08.0,Corrosives,13.894,,US,,R4,,,
CA,Y29,Mercury; mercury compounds,,6.1,H06.1,Toxic (Poisonous),55.226,,US,D10,,,,
CA,Y29,Mercury; mercury compounds,,6.1,H06.1|H04.1,Toxic (Poisonous); Flammable Solids,0.005,,US,D10,,,,
CA,"Y29,Y31",Mercury; mercury compounds; Lead; lead compounds,,,H13.0,Leachate,2.766,,US,,R4,,,
CA,"Y29,Y31,Y26",Mercury; mercury compounds; Lead; lead compounds; Cadmium; cadmium compounds,,,H13.0,Leachate,6.441,,US,,R4,,,
CA,"Y29,Y34",Mercury; mercury compounds; Acidic solutions or acids in solid form,,6.1,H06.1,Toxic (Poisonous),0.350,,US,D10,,,,
CA,"Y29,Y34",Mercury; mercury compounds; Acidic solutions or acids in solid form,,8,H08.0|H06.1,Corrosives; Toxic (Poisonous),0.002,,US,,R13,,,
CA,"Y29,Y34",Mercury; mercury compounds; Acidic solutions or acids in solid form,,6.1,H06.1|H08.0,Toxic (Poisonous); Corrosives,0.552,,US,D10,,,,
CA,Y31,Lead; lead compounds,,,H13.0,Leachate,3564.444,,US,,R__,,,
CA,Y31,Lead; lead compounds,,3,H03.0,Flammable Liquids,408.000,,US,,R1,,,
CA,Y31,Lead; lead compounds,,8,H08.0,Corrosives,3.880,,US,,R4,,,
CA,"Y31,Y21",Lead; lead compounds,,,H12.0,Ecotoxic,66.696,,US,D3,,,,
CA,"Y31,Y21",Lead; lead compounds,,,H12.0,Ecotoxic,275.128,,US,,R4,,,
CA,"Y31,Y21,Y23",Lead; lead compounds; Hexavalent chromium compounds; Zinc compounds,,,H13.0,Leachate,15.574,,US,D9,,,,
CA,"Y31,Y21,Y26,Y18",Lead; lead compounds; Hexavalent chromium compounds; Cadmium; cadmium compounds; Residues arising from industrial waste disposal operations,,6.1,H06.1,Toxic (Poisonous),4.853,,US,D9,,,,
CA,"Y31,Y21,Y34",Lead; lead compounds; Hexavalent chromium compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,3.000,,US,,R__,,,
CA,"Y31,Y21,Y42",Lead; lead compounds; Hexavalent chromium compounds; Organic solvents excluding halogenated solvents,,,H12.0,Ecotoxic,3.268,,US,D10,,,,
CA,"Y31,Y22",Lead; lead compounds; Copper compounds,,,H13.0,Leachate,6.200,,US,D9,,,,
CA,"Y31,Y22",Lead; lead compounds; Copper compounds,,,H13.0,Leachate,295.451,,US,,R4,,,
CA,"Y31,Y22,Y27",Lead; lead compounds; Copper compounds; Antimony; antimony compounds,,6.1,H06.1,Toxic (Poisonous),1558.288,BE,DE,,R4,,,
CA,"Y31,Y23,Y17",Lead; lead compounds; Zinc compounds; Wastes resulting from surface treatment of metals and plastics,,,H13.0,Leachate,39.887,,US,D9,,,,
CA,"Y31,Y24,Y26",Lead; lead compounds; Arsenic; arsenic compounds; Cadmium; cadmium compounds,,,H12.0,Ecotoxic,151.440,,US,D9,,,,
CA,"Y31,Y26",Lead; lead compounds; Cadmium; cadmium compounds,,,H13.0,Leachate,61.936,,US,,R4,,,
CA,"Y31,Y26,Y21,Y18",Lead; lead compounds; Cadmium; cadmium compounds; Hexavalent chromium compounds; Residues arising from industrial waste disposal operations,,,H13.0,Leachate,253.028,,US,D9,,,,
CA,"Y31,Y26,Y22",Lead; lead compounds; Cadmium; cadmium compounds; Copper compounds,,,H13.0,Leachate,1.427,,US,,R4,,,
CA,"Y31,Y26,Y24",Lead; lead compounds; Cadmium; cadmium compounds; Arsenic; arsenic compounds,,4.3,H04.3,Flammable Gases in contact with water,5553.482,,US,,R4,,,
CA,"Y31,Y29",Lead; lead compounds; Mercury; mercury compounds,,,H12.0,Ecotoxic,62.359,,US,D10,,,,
CA,"Y31,Y34",Lead; lead compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,5.600,,US,D9,,,,
CA,"Y31,Y34",Lead; lead compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,41168.705,,US,,R4,,,
CA,"Y31,Y34",Lead; lead compounds; Acidic solutions or acids in solid form,,8,H08.0,Corrosives,46.309,,US,,R4,,,
CA,"Y31,Y34,Y23,Y17",Lead; lead compounds; Acidic solutions or acids in solid form; Zinc compounds; Wastes resulting from surface treatment of metals and plastics,,8,H08.0,Corrosives,2063.726,,US,D9,,,,
CA,"Y31,Y34,Y23,Y17",Lead; lead compounds; Acidic solutions or acids in solid form; Zinc compounds; Wastes resulting from surface treatment of metals and plastics,,8,H08.0,Corrosives,13.204,,US,,R__,,,
CA,"Y31,Y35",Lead; lead compounds; Basic solutions or bases in solid form,,,H12.0,Ecotoxic,548.937,,US,D5,,,,
CA,"Y31,Y41,Y42",Lead; lead compounds; Halogenated organic solvents; Organic solvents excluding halogenated solvents,,3,H03.0,Flammable Liquids,1710.081,,US,D10,,,,
CA,"Y31,Y45","Lead; lead compounds; Organohalogen compounds other than substances referred to in this Appendix (e.g. Y39, Y41, Y42 Y43, Y44)",,6.1,H06.1|H03.0,Toxic (Poisonous); Flammable Liquids,4.250,,US,D10,,,,
CA,"Y31,Y8","Lead; lead compounds; Organohalogen compounds other than substances referred to in this Appendix (e.g. Y39, Y41, Y42 Y43, Y44)",,,H12.0,Ecotoxic,776.616,,US,,R1,,,
CA,Y32,Inorganic fluorine compounds excluding calcium fluoride,,,H13.0,Leachate,163.330,,US,D13,,,,
CA,Y32,Inorganic fluorine compounds excluding calcium fluoride,,,H13.0,Leachate,4261.468,,US,D5,,,,
CA,Y32,Inorganic fluorine compounds excluding calcium fluoride,,,H13.0,Leachate,307.308,,US,,R1,,,
CA,Y32,Inorganic fluorine compounds excluding calcium fluoride,,8,H08.0|H06.1,Corrosives; Toxic (Poisonous),0.001,,US,D9,,,,
CA,Y32,Inorganic fluorine compounds excluding calcium fluoride,,6.1,H06.1,Toxic (Poisonous),805.740,,US,D13,,,,
CA,Y32,Inorganic fluorine compounds excluding calcium fluoride,,5.0999999999999996,H05.1|H06.1,Oxidizing; Toxic (Poisonous),0.001,,US,D9,,,,
CA,Y32,Inorganic fluorine compounds excluding calcium fluoride,,4.3,H04.3,Flammable Gases in contact with water,7275.033,,US,D5,,,,
CA,"Y32,Y33",Inorganic fluorine compounds excluding calcium fluoride; Inorganic cyanides,,4.3,H04.3,Flammable Gases in contact with water,8233.264,,US,D9,,,,
CA,"Y32,Y33",Inorganic fluorine compounds excluding calcium fluoride; Inorganic cyanides,,4.3,H04.3,Flammable Gases in contact with water,6564.427,BE,DE,,R1,,,
CA,"Y32,Y33",Inorganic fluorine compounds excluding calcium fluoride; Inorganic cyanides,,4.3,H04.3,Flammable Gases in contact with water,20797.440,,US,,R5,,,
CA,Y33,Inorganic cyanides,,,H13.0,Leachate,0.076,,US,,R4,,,
CA,Y33,Inorganic cyanides,,6.1,H06.1,Toxic (Poisonous),0.054,,US,D10,,,,
CA,Y33,Inorganic cyanides,,6.1,H06.1|H08.0,Toxic (Poisonous); Corrosives,0.005,,US,D10,,,,
CA,Y33,Inorganic cyanides,,4.0999999999999996,H04.1|H06.1,Flammable Solids; Toxic (Poisonous),0.015,,US,D10,,,,
CA,Y33,Inorganic cyanides,,6.1,H06.1,Toxic (Poisonous),2.843,,US,D10,,,,
CA,Y33,Inorganic cyanides,,6.1,H06.1,Toxic (Poisonous),0.096,,US,D10,,,,
CA,"Y33,Y34",Inorganic cyanides; Acidic solutions or acids in solid form,,5.0999999999999996,H05.1,Oxidizing,0.101,,US,D10,,,,
CA,"Y33,Y35",Inorganic cyanides; Basic solutions or bases in solid form,,6.1,H06.1,Toxic (Poisonous),0.005,,US,D10,,,,
CA,"Y33,Y35",Inorganic cyanides; Basic solutions or bases in solid form,,6.1,H06.1,Toxic (Poisonous),0.055,,US,D10,,,,
CA,"Y33,Y35",Inorganic cyanides; Basic solutions or bases in solid form,,6.1,H06.1,Toxic (Poisonous),0.507,,US,D10,,,,
CA,"Y33,Y35",Inorganic cyanides; Basic solutions or bases in solid form,,6.1,H06.1,Toxic (Poisonous),0.905,,US,D10,,,,
CA,"Y33,Y35",Inorganic cyanides; Basic solutions or bases in solid form,,8,H08.0|H06.1,Corrosives; Toxic (Poisonous),12.770,,US,,R4,,,
CA,"Y33,Y35,Y4","Inorganic cyanides; Basic solutions or bases in solid form; Wastes from the production, formulation and use of biocides and phytopharmaceuticals",,6.1,H06.1,Toxic (Poisonous),0.097,,US,D10,,,,
CA,"Y33,Y41",Inorganic cyanides; Halogenated organic solvents,,6.1,H06.1|H08.0,Toxic (Poisonous); Corrosives,0.012,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,,H12.0,Ecotoxic,3689.960,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.005,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,6.1,H06.1|H08.0,Toxic (Poisonous); Corrosives,0.329,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.031,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.112,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,21.457,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.679,,US,D3,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,5.686,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.173,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.285,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.934,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H06.1,Corrosives; Toxic (Poisonous),0.359,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H06.1,Corrosives; Toxic (Poisonous),3.484,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,1.253,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,1.760,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.005,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.005,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,10.349,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,1574.979,,US,D3,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.183,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,178.842,,US,,R__,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,121933.193,,US,,R6,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.006,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.005,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,5.0999999999999996,H05.1|H08.0,Oxidizing; Corrosives,0.065,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,5.0999999999999996,H05.1|H08.0,Oxidizing; Corrosives,1.195,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H05.1,Corrosives; Oxidizing,0.085,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.065,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H03.0,Corrosives; Flammable Liquids,0.005,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,5.0999999999999996,H05.1,Oxidizing,0.005,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,1186.840,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.042,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.015,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H03.0,Corrosives; Flammable Liquids,0.162,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.010,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,2.060,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,6.1,H06.1,Toxic (Poisonous),0.630,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H03.0,Corrosives; Flammable Liquids,4.525,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H04.1,Corrosives; Flammable Solids,0.005,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H06.1,Corrosives; Toxic (Poisonous),0.904,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H06.1,Corrosives; Toxic (Poisonous),0.400,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H06.1,Corrosives; Toxic (Poisonous),0.072,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,4.0999999999999996,H04.1|H08.0,Flammable Solids; Corrosives,0.102,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,6.1,H06.1|H08.0,Toxic (Poisonous); Corrosives,2.591,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H05.1,Corrosives; Oxidizing,1.133,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H05.1,Corrosives; Oxidizing,4.754,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0|H04.3,Corrosives; Flammable Gases in contact with water,0.005,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,5.0999999999999996,H05.1|H08.0,Oxidizing; Corrosives,9.132,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,4.3,H04.3|H08.0,Flammable Gases in contact with water; Corrosives,0.004,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,5.0999999999999996,H05.1|H08.0,Oxidizing; Corrosives,1.931,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.204,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.103,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,99.402,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,0.304,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,3.500,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,1980.889,,US,D3,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,97.015,,US,D9,,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,51.349,,US,,R4,,,
CA,Y34,Acidic solutions or acids in solid form,,8,H08.0,Corrosives,7.317,,US,D10,,,,
CA,Y34,Acidic solutions or acids in solid form,,6.1,H06.1|H08.0,Toxic (Poisonous); Corrosives,0.010,,US,D10,,,,
CA,"Y34,Y17",Acidic solutions or acids in solid form; Wastes resulting from surface treatment of metals and plastics,,8,H08.0,Corrosives,726.207,,US,,R__,,,
CA,"Y34,Y17",Acidic solutions or acids in solid form; Wastes resulting from surface treatment of metals and plastics,,8,H08.0,Corrosives,28.312,,US,D3,,,,
CA,"Y34,Y17",Acidic solutions or acids in solid form; Wastes resulting from surface treatment of metals and plastics,,8,H08.0,Corrosives,946.820,,US,,R4,,,
CA,"Y34,Y18",Acidic solutions or acids in solid form; Residues arising from industrial waste disposal operations,,8,H08.0,Corrosives,33.900,,US,D9,,,,
CA,"Y34,Y21",Acidic solutions or acids in solid form; Hexavalent chromium compounds,,8,H08.0,Corrosives,4.878,,US,D10,,,,
CA,"Y34,Y21",Acidic solutions or acids in solid form; Hexavalent chromium compounds,,8,H08.0,Corrosives,0.119,,US,D9,,,,
CA,"Y34,Y21",Acidic solutions or acids in solid form; Hexavalent chromium compounds,,8,H08.0,Corrosives,26.139,,US,,R4,,,
CA,"Y34,Y21,Y17",Acidic solutions or acids in solid form; Hexavalent chromium compounds; Wastes resulting from surface treatment of metals and plastics,,8,H08.0,Corrosives,614.046,,US,D3,,,,
CA,"Y34,Y21,Y17",Acidic solutions or acids in solid form; Hexavalent chromium compounds; Wastes resulting from surface treatment of metals and plastics,,8,H08.0,Corrosives,179.057,,US,,R4,,,
CA,"Y34,Y21,Y31",Acidic solutions or acids in solid form; Hexavalent chromium compounds; Lead; lead compounds,,8,H08.0,Corrosives,45.120,,US,D9,,,,
CA,"Y34,Y21,Y31",Acidic solutions or acids in solid form; Hexavalent chromium compounds; Lead; lead compounds,,8,H08.0,Corrosives,672.000,,US,D3,,,,
CA,"Y34,Y21,Y31",Acidic solutions or acids in solid form; Hexavalent chromium compounds; Lead; lead compounds,,8,H08.0,Corrosives,625.677,,US,D9,,,,
CA,"Y34,Y22",Acidic solutions or acids in solid form; Copper compounds,,8,H08.0,Corrosives,39.628,,US,,R4,,,
CA,"Y34,Y22,Y17",Acidic solutions or acids in solid form; Copper compounds; Wastes resulting from surface treatment of metals and plastics,,8,H08.0,Corrosives,260.766,,US,,R__,,,
